"sentence","bp_number"
"A amplitude de vibração aumenta da esquerda para a direita vs a amplitude de vibração diminui da esquerda para a direita",43
"Círculos pequenos em diferentes arcos vs círculos pequenos em um arco",44
"Figura de contorno em cima da figura preta sólida vs figura preta em cima da figura de contorno",45
"Triângulo em cima do círculo vs círculo em cima do triângulo",46
"Triângulo dentro do círculo vs círculo dentro do triângulo",47
"Figuras escuras sólidas acima das figuras de contorno vs figuras de contorno acima das figuras escuras sólidas",48
"Pontos dentro do contorno da figura estão agrupados mais densamente do que fora do contorno vs pontos fora do contorno da figura estão agrupados mais densamente do que dentro do contorno",49
"Eixo vertical de simetria vs nenhum eixo de simetria",50
"Dois círculos próximos um do outro vs nenhum dois círculos próximos um do outro",51
"Setas apontando em diferentes direções vs setas apontando na mesma direção",52
"A figura interior tem menos ângulos que a figura exterior vs a figura interior tem mais ângulos que a figura exterior",53
"Uma cruz, círculo e triângulo arranjados no sentido anti-horário vs uma cruz, círculo e triângulo arranjados no sentido horário",54
"Um círculo está à esquerda da cavidade se você olhar de dentro da figura vs um círculo está à direita da cavidade se você olhar de dentro da figura",55
"Todas as figuras da mesma cor vs figuras de cores diferentes",56
"Figuras idênticas vs figuras não idênticas",57
"Quadriláteros escuros sólidos são idênticos vs quadriláteros escuros sólidos são diferentes",58
"As figuras são similares vs as figuras não são similares",59
"Algumas figuras similares vs nenhuma figura similar",60
"Uma linha separa as cruzes pela metade vs uma linha não separa as cruzes pela metade",61
"As extremidades da curva estão muito separadas vs as extremidades da curva estão muito próximas",62
"Sombreado mais espesso no lado direito vs sombreado mais espesso no lado esquerdo",63
"Uma cruz está localizada na extensão do eixo da elipse vs um círculo está localizado na extensão do eixo da elipse",64
"Um conjunto de triângulos alongados horizontalmente vs um conjunto de triângulos alongados verticalmente",65
"Círculos não conectados em uma linha horizontal vs círculos não conectados em uma linha vertical",66
"O ramo direito começa em um ponto mais alto que o ramo esquerdo vs o ramo direito começa em um ponto mais baixo que o ramo esquerdo",67
"O final do ramo direito está mais alto que o do ramo esquerdo vs o final do ramo direito está mais baixo que o do ramo esquerdo",68
"Ponto preto grande no ramo principal vs ponto preto grande em um ramo lateral",69
"Não há ramos laterais de segunda ordem vs há ramos laterais de segunda ordem",70
"Há figuras interiores de segunda ordem vs não há figuras interiores de segunda ordem",71
"As extremidades da curva são paralelas vs as extremidades da curva são perpendiculares",72
"Os eixos longos da elipse e do retângulo são perpendiculares vs os eixos longos da elipse e do retângulo são paralelos",73
"Uma cauda cresce da extremidade obtusa vs uma cauda cresce da extremidade aguda",74
"Triângulo localizado no lado côncavo de um arco vs triângulo localizado no lado convexo de um arco",75
"Lados longos côncavos vs lados longos convexos",76
"Ângulo dividido pela metade vs ângulo não dividido pela metade",77
"Extensões dos segmentos se cruzam em um ponto vs extensões dos segmentos não se cruzam em um ponto",78
"Um círculo escuro está mais próximo do círculo de contorno do que do triângulo vs um círculo escuro está mais próximo do triângulo do que do círculo de contorno",79
"Pontos localizados nas mesmas distâncias de uma cruz vs pontos localizados em diferentes distâncias de uma cruz",80
"Figuras escuras podem ser separadas de figuras de contorno por uma linha reta vs envoltórias convexas das figuras preenchidas e de contorno se sobrepõem",81
"A envoltória convexa das cruzes forma um triângulo equilátero vs a envoltória convexa das cruzes não forma um triângulo equilátero",82
"Um círculo está dentro de uma figura feita por cruzes vs um círculo está fora de figuras feitas por cruzes",83
"Um quadrilátero está fora de uma figura feita por círculos vs um quadrilátero está dentro de uma figura feita por círculos",84
"Três partes vs cinco partes",85
"Três partes vs cinco partes",86
"Quatro partes vs cinco partes",87
"Três partes vs cinco partes",88
"Três partes vs cinco partes",89
"Três partes vs quatro partes",90
"Três elementos idênticos vs quatro elementos idênticos",91
"A cadeia não se ramifica vs a cadeia se ramifica",92
"Ramos no círculo de contorno vs ramos no círculo escuro sólido",93
"Círculo escuro sólido não no final vs círculo escuro sólido no final",94
"Linhas hachuradas verticais vs linhas hachuradas horizontais",95
"Triângulos vs quadriláteros",96
"Triângulos vs círculos",97
"Triângulos vs quadriláteros",98
"Contornos feitos por triângulos e círculos se intersectam vs contornos feitos por triângulos e círculos não se intersectam",99
"A letra A vs a letra Б",100
"Grande vs piccolo",2
"Contorno vuoto vs riempito solido",3
"Convesso vs concavo",4
"È poligono vs è liscio senza linee rette o angoli",5
"Triangolo vs quadrilatero",6
"Più alto che largo vs più largo che alto",7
"Posizionato a destra vs posizionato a sinistra",8
"Contorno non ondulato vs contorno ondulato",9
"Contorno approssimativamente triangolare vs contorno approssimativamente quadrilatero convesso",10
"Sottile e allungato vs compatto",11
"Involucro convesso sottile allungato vs involucro convesso compatto",12
"Rettangolo alto O ellisse larga vs rettangolo largo O ellisse alta",13
"Tutte le figure individuali grandi vs tutte le figure individuali piccole",14
"Contorno di forma chiusa vs curva non chiusa",15
"Curva spirale in senso orario vs curva spirale in senso antiorario",16
"Forma con angolo riflesso vs forma senza angolo riflesso",17
"Forma 'pizzicata' (drasticamente più sottile da qualche parte nel mezzo che alle estremità) vs forma non pizzicata",18
"Pizzico orizzontale vs pizzico verticale",19
"Entrambi i punti toccano lo stesso rigonfiamento vs punti su rigonfiamenti opposti",20
"Forma piccola presente vs tutte le forme grandi",21
"Tutte le forme approssimativamente della stessa dimensione vs forme di dimensione diversa",22
"Una vs due figure",23
"Un cerchio vs nessun cerchio",24
"La figura nera è un triangolo vs la figura nera è un cerchio",25
"Triangolo nero solido vs nessun triangolo nero solido",26
"Più figure nere solide vs più figure di contorno",27
"Più cerchi neri solidi vs più cerchi di contorno",28
"Ci sono più cerchi piccoli dentro il contorno della figura che fuori vs ci sono meno cerchi piccoli dentro il contorno della figura che fuori",29
"Una curva con un'auto-intersezione vs una curva senza auto-intersezione",30
"Una linea vs due linee",31
"Una proiezione appuntita vs nessuna proiezione appuntita",32
"Angolo acuto vs nessun angolo acuto",33
"Un buco grande vs un buco piccolo",34
"L'asse del buco è parallelo all'asse della figura vs l'asse del buco è perpendicolare all'asse della figura",35
"Triangolo sopra il cerchio vs cerchio sopra il triangolo",36
"Triangolo sopra il cerchio vs cerchio sopra il triangolo",37
"Triangolo più grande del cerchio vs triangolo più piccolo del cerchio",38
"Segmenti approssimativamente paralleli tra loro vs grandi angoli tra segmenti",39
"Tre punti su una linea retta vs nessun tre punti su una linea retta",40
"Cerchi di contorno su una linea retta vs cerchi di contorno non su una linea retta",41
"Punti dentro il contorno della figura sono su una linea retta vs punti dentro il contorno della figura non sono su una linea retta",42
"L'ampiezza di vibrazione aumenta da sinistra a destra vs l'ampiezza di vibrazione diminuisce da sinistra a destra",43
"Cerchi piccoli su archi diversi vs cerchi piccoli su un arco",44
"Figura di contorno sopra la figura nera solida vs figura nera sopra la figura di contorno",45
"Triangolo sopra il cerchio vs cerchio sopra il triangolo",46
"Triangolo dentro il cerchio vs cerchio dentro il triangolo",47
"Figure scure solide sopra le figure di contorno vs figure di contorno sopra le figure scure solide",48
"Punti dentro il contorno della figura sono raggruppati più densamente che fuori dal contorno vs punti fuori dal contorno della figura sono raggruppati più densamente che dentro il contorno",49
"Asse verticale di simmetria vs nessun asse di simmetria",50
"Due cerchi vicini l'uno all'altro vs nessun due cerchi vicini l'uno all'altro",51
"Frecce che puntano in direzioni diverse vs frecce che puntano nella stessa direzione",52
"La figura interna ha meno angoli della figura esterna vs la figura interna ha più angoli della figura esterna",53
"Una croce, cerchio e triangolo disposti in senso antiorario vs una croce, cerchio e triangolo disposti in senso orario",54
"Un cerchio è a sinistra della cavità se guardi dall'interno della figura vs un cerchio è a destra della cavità se guardi dall'interno della figura",55
"Tutte le figure dello stesso colore vs figure di colori diversi",56
"Figure identiche vs figure non identiche",57
"I quadrilateri scuri solidi sono identici vs i quadrilateri scuri solidi sono diversi",58
"Le figure sono simili vs le figure non sono simili",59
"Alcune figure simili vs nessuna figura simile",60
"Una linea separa le croci a metà vs una linea non separa le croci a metà",61
"Le estremità della curva sono molto distanti vs le estremità della curva sono molto vicine",62
"Ombreggiatura più spessa sul lato destro vs ombreggiatura più spessa sul lato sinistro",63
"Una croce è situata sull'estensione dell'asse dell'ellisse vs un cerchio è situato sull'estensione dell'asse dell'ellisse",64
"Un insieme di triangoli allungati orizzontalmente vs un insieme di triangoli allungati verticalmente",65
"Cerchi non connessi su una linea orizzontale vs cerchi non connessi su una linea verticale",66
"Il ramo destro inizia in un punto più alto del ramo sinistro vs il ramo destro inizia in un punto più basso del ramo sinistro",67
"La fine del ramo destro è più alta di quella del ramo sinistro vs la fine del ramo destro è più bassa di quella del ramo sinistro",68
"Punto nero grande sul ramo principale vs punto nero grande su un ramo laterale",69
"Non ci sono rami laterali di secondo ordine vs ci sono rami laterali di secondo ordine",70
"Ci sono figure interne di secondo ordine vs non ci sono figure interne di secondo ordine",71
"Le estremità della curva sono parallele vs le estremità della curva sono perpendicolari",72
"Gli assi lunghi dell'ellisse e del rettangolo sono perpendicolari vs gli assi lunghi dell'ellisse e del rettangolo sono paralleli",73
"Una coda cresce dall'estremità ottusa vs una coda cresce dall'estremità acuta",74
"Triangolo situato sul lato concavo di un arco vs triangolo situato sul lato convesso di un arco",75
"Lati lunghi concavi vs lati lunghi convessi",76
"Angolo diviso a metà vs angolo non diviso a metà",77
"Le estensioni dei segmenti si incrociano in un punto vs le estensioni dei segmenti non si incrociano in un punto",78
"Un cerchio scuro è più vicino al cerchio di contorno che al triangolo vs un cerchio scuro è più vicino al triangolo che al cerchio di contorno",79
"Punti situati alle stesse distanze da una croce vs punti situati a distanze diverse da una croce",80
"Le figure scure possono essere separate dalle figure di contorno da una linea retta vs gli involucri convessi delle figure riempite e di contorno si sovrappongono",81
"L'involucro convesso delle croci forma un triangolo equilatero vs l'involucro convesso delle croci non forma un triangolo equilatero",82
"Un cerchio è dentro una figura fatta da croci vs un cerchio è fuori da figure fatte da croci",83
"Un quadrilatero è fuori da una figura fatta da cerchi vs un quadrilatero è dentro una figura fatta da cerchi",84
"Tre parti vs cinque parti",85
"Tre parti vs cinque parti",86
"Quattro parti vs cinque parti",87
"Tre parti vs cinque parti",88
"Tre parti vs cinque parti",89
"Tre parti vs quattro parti",90
"Tre elementi identici vs quattro elementi identici",91
"La catena non si ramifica vs la catena si ramifica",92
"Rami al cerchio di contorno vs rami al cerchio scuro solido",93
"Cerchio scuro solido non alla fine vs cerchio scuro solido alla fine",94
"Linee tratteggiate verticali vs linee tratteggiate orizzontali",95
"Triangoli vs quadrilateri",96
"Triangoli vs cerchi",97
"Triangoli vs quadrilateri",98
"I contorni fatti da triangoli e cerchi si intersecano vs i contorni fatti da triangoli e cerchi non si intersecano",99
"La lettera A vs la lettera Б",100
